			8N	8T	33N	33T	51N	51T	8N	8T	33N	33T	51N	51T	8T vs. 8N	33T vs. 33N	51T vs. 51N				8T vs. 8N	33T vs. 33N	51T vs. 51N	8T vs. 8N	33T vs. 33N	51T vs. 51N	all									
			counts	counts	counts	counts	counts	counts	counts	counts	counts	counts	counts	counts	log2(ratioOfNormalizedCounts)	log2(ratioOfNormalizedCounts)	log2(ratioOfNormalizedCounts)				log2(ratioOfNormalizedCounts)	log2(ratioOfNormalizedCounts)	log2(ratioOfNormalizedCounts)	rank(ratioOfNormalizedCounts)	rank(ratioOfNormalizedCounts)	rank(ratioOfNormalizedCounts)	median(rank(ratioOfNormalizedCounts))	LRT Analysis 								
idRefSeq	nameOfGene	numberOfExons	sum	sum	sum	sum	sum	sum	normalized_sum	normalized_sum	normalized_sum	normalized_sum	normalized_sum	normalized_sum	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio		RefSeq Id	Gene	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	Normal_counts	Tumor_counts	Normal_RPM	Tumor_RPM	Normal_RPKM	Tumor_RPKM	log2(FC)	p-value	FDR
NM_206820	MYBPC1	30	4765	10	4115	14	15408	1302	1.9E-04	5.1E-07	1.1E-04	3.9E-07	2.7E-04	3.3E-05	-8.55	-8.06	-3.07		NM_206820	MYBPC1	-8.55	-8.06	-3.07	25	8	194	25	24288	1326	190.2682498	11.14861331	49.31784598	2.889739065	-4.093098657	0	0
NM_001079810	XIRP2	9	1834	3	2018	15	4911	1482	7.4E-05	1.9E-07	5.1E-05	4.2E-07	8.7E-05	3.7E-05	-8.63	-6.94	-1.23		NM_001079810	XIRP2	-8.63	-6.94	-1.23	21	25	1804	25	8763	1500	70.89294634	12.55090722	21.88729433	3.874932762	-2.49785044	0	0
NM_014332	SMPX	5	406	0	688	3	2347	318	1.6E-05	4.7E-08	1.8E-05	1.0E-07	4.2E-05	8.0E-06	-8.46	-7.39	-2.38		NM_014332	SMPX	-8.46	-7.39	-2.38	29	19	510	29	3441	321	25.19172747	2.681157057	28.43310098	3.026136634	-3.232022418	0	0
NM_005181	CA3	7	1840	1	4180	35	552	72	7.4E-05	9.4E-08	1.1E-04	9.4E-07	9.8E-06	1.8E-06	-9.63	-6.82	-2.42		NM_005181	CA3	-9.63	-6.82	-2.42	3	30	488	30	6572	108	63.5643134	0.921731604	36.26030428	0.525802398	-6.107726499	0	0
NM_198060	NRAP	42	3741	4	1990	17	12531	1829	1.5E-04	2.3E-07	5.1E-05	4.7E-07	2.2E-04	4.6E-05	-9.34	-6.75	-2.28		NM_198060	NRAP	-9.34	-6.75	-2.28	6	32	567	32	18262	1850	141.40894	15.48108278	25.60828323	2.803528211	-3.191295046	0	0
NM_006175	NRAP	41	3708	4	1980	17	12438	1817	1.5E-04	2.3E-07	5.0E-05	4.7E-07	2.2E-04	4.6E-05	-9.32	-6.75	-2.28		NM_006175	NRAP	-9.32	-6.75	-2.28	7	32	567	32	18126	1838	140.3294011	15.38089353	25.90537218	2.839374843	-3.189606085	0	0
NM_000257	MYH7	40	3118	8	3767	21	4001	724	1.3E-04	4.2E-07	9.6E-05	5.8E-07	7.1E-05	1.8E-05	-8.23	-7.38	-1.97		NM_000257	MYH7	-8.23	-7.38	-1.97	34	20	831	34	10886	753	97.67238826	6.352611582	16.16022307	1.051060818	-3.942529057	0	0
NM_032578	MYPN	20	679	1	656	3	3256	321	2.8E-05	9.4E-08	1.7E-05	1.0E-07	5.8E-05	8.1E-06	-8.2	-7.32	-2.84		NM_032578	MYPN	-8.2	-7.32	-2.84	35	21	285	35	4591	325	33.97362061	2.721812779	5.887975842	0.471717986	-3.641775237	0	0
NM_203378	MB	4	4114	6	6544	59	11279	1487	1.7E-04	3.3E-07	1.7E-04	1.6E-06	2.0E-04	3.7E-05	-8.99	-6.73	-2.42		NM_203378	MB	-8.99	-6.73	-2.42	12	35	488	35	21937	1552	177.7127048	13.02289103	154.1307067	11.2947884	-3.770425162	0	0
NM_203377	MB	4	4064	6	6496	59	11227	1472	1.6E-04	3.3E-07	1.7E-04	1.6E-06	2.0E-04	3.7E-05	-8.97	-6.72	-2.43		NM_203377	MB	-8.97	-6.72	-2.43	13	37	479	37	21787	1537	176.3237125	12.89765446	150.7040278	11.02363629	-3.773045876	0	0
